tweet_id,name,party,state,text,date
t_1420041194588024834,Dan Bishop,R,NC,"critical race theory isn’t promoted federal gov., democrats say, proble…","7/27/2021, 8:19:38 AM"
t_1420041171804504064,Mary Scanlon,D,PA,"absolutely disgusting. addition physical abuse endured january 6, officer dunn many bl…","7/27/2021, 8:19:33 AM"
t_1420041129811226625,Marco Rubio,R,FL,el senador rubio se reunió con la senadora estatal @ileanagarciausa para hablar sobre los temas que afectan los r…,"7/27/2021, 8:19:23 AM"
t_1420041126799675395,Marco Rubio,R,FL,"senator rubio met state senator @ileanagarciausa discuss issues affecting #florida’s 37th district, includi…","7/27/2021, 8:19:22 AM"
t_1420041039826587650,James McGovern,D,MA,"rt @ceccgov: hearing livestream: watch today's hearing ""corporate sponsorship 2022 beijing olympics"" via @ceccgov youtube channe…","7/27/2021, 8:19:01 AM"
t_1420040920226017286,Jahana Hayes,D,CT,"jan 6th every member congress made home safely. jan 6th son, office, made it…","7/27/2021, 8:18:33 AM"
t_1420040916346318850,Tim Ryan,D,OH,right now economy growing faster time last 40 years. moment reimagine our…,"7/27/2021, 8:18:32 AM"
t_1420040901766881281,Ted Lieu,D,CA,rt @abcgma3: “they're ignoring evidence eyes ears. got members republican party turning cult.” @reptedl…,"7/27/2021, 8:18:28 AM"
t_1420040769973506053,Debbie Wasserman Schultz,D,FL,thank dr. @amaliadache sharing untold often overlooked stories afro-cubans.,"7/27/2021, 8:17:57 AM"
t_1420040711035105285,Ted Cruz,R,TX,"rt @cwfora: huge thank senators @sentedcruz, @senmikelee, @hawleymo urging scotus correct egregious wrong na…","7/27/2021, 8:17:43 AM"
t_1420040577777872901,Marco Rubio,R,FL,rt @vocommunism: cuban people continue march towards freedom. #patriayvida #soscuba,"7/27/2021, 8:17:11 AM"
t_1420040562481278985,Deborah Ross,D,NC,"today, @january6thcmte begins crucial investigation january 6th attack u.s. capitol. bi…","7/27/2021, 8:17:07 AM"
t_1420040509825994763,Val Demings,D,FL,"""it hurt. hurt reading now, thinking it, people demonize color skin w…","7/27/2021, 8:16:55 AM"
t_1420040496311853058,Henry Johnson,D,GA,op-ed: u.s. recognize role it’s played cuba’s troubles:,"7/27/2021, 8:16:52 AM"
t_1420040475977949186,Tom Cole,R,OK,"#onthisday 1953, korean armistice agreement signed, ending “the forgotten war."" #koreanwar veterans…","7/27/2021, 8:16:47 AM"
t_1420040117968900097,Jim Banks,R,IN,rt @reppatfallon: pelosi afraid @repjimbanks @jim_jordan say?,"7/27/2021, 8:15:21 AM"
t_1420040083856629767,Jim Banks,R,IN,~90% capitol police officers belong uscp union. @benniegthompson refuse allow uscp unio…,"7/27/2021, 8:15:13 AM"
t_1420040027426496513,Pramila Jayapal,D,WA,interview sunday. headline says bipartisan infrastructure deal expected monday. today tues…,"7/27/2021, 8:15:00 AM"
t_1420040000356421632,Troy Balderson,R,OH,"rt @houseaggop: new taxes farmers annoyance, they’re generational threat farm families. 99.5 per…","7/27/2021, 8:14:53 AM"
